
                                                                                                       
,0000003105,CAJA C/VISOR FTSIA P/TORTA 25x25x12 x u.     ,"116,25"        
,0000003106,CAJA LUNCHERA C/VISOR 24x16x12 x u.          ,"64,26"                
,0000000531,CUCHARITA AGITADOR P/CAFE x 500u.(x4000)     ,"300,00"
,0000001181,PINCHE PLAST.ESPADITAS x 1000 (x5000)        ,"247,96"
,0000001182,MINITENEDORES PLAST. x 500 (x2000)           ,"245,47"
,0000001183,AGITADOR TRAGO LARGO x 100 (x1000)           ,"98,06"
,0000001184,AGITADOR REMO P/CAFE CRISTAL x 1000u.(x5000) ,"170,16"
,0000001185,AGITADOR REMO P/CAFE COLOR x 1000u.(x5000)   ,"145,90"
,0000001186,AGITADOR REMO P/CAFE BLANCO x 1000u.(x5000)  ,"157,90"
,0000001872,AGITADOR REMO P/CAFE CRISTAL x 300 u.(x7500) ,"74,61"                      
,0000000011,BAND.BLONDA RED.16CM ARENALES(x50u)          ,"17,11"
,0000000012,BAND.BLONDA RED. 21CM ARENALES(x50u)         ,"23,48"
,0000000013,BAND.BLONDA RED. 24CM ARENALES(x50u)         ,"32,73"
,0000000014,BAND.BLONDA RED. 27CM ARENALES(x50u)         ,"42,88"
,0000000015,BAND.BLONDA RED. 30CM ARENALES(x50u)         ,"51,14"
,0000000016,BAND.BLONDA RED. 33CM ARENALES(x50u)         ,"76,10"
,0000000017,BAND.BLONDA RED. 36CM ARENALES(x50u)         ,"104,26"
,0000000018,BAND.BLONDA RED. 39CM ARENALES(x50u)         ,"170,21"
,0000000019,BAND.BLONDA CUBETA ARENALES(x50u)            ,"28,28"
,0000000020,BAND.BLONDA RECT. 1/2kg ARENALES(x50u)       ,"30,73"
,0000000021,BAND.BLONDA RECT. 1kg ARENALES(x50u)         ,"58,64"
,0000000022,BAND.BLONDA RECT. 2kg ARENALES(x50u)         ,"89,06"
,0000000023,BAND.BLONDA RECT. 3kg ARENALES(x25u)         ,"138,14"
,0000000024,BAND.BLONDA RECT. 5kg ARENALES(x20u)         ,"258,77"
,0000000025,BAND.BLONDA CUAD.38CM ARENALES(x25u)         ,"158,63"
,0000000026,BAND.BLONDA CUAD.42CM ARENALES(x25u)         ,"189,49"
,0000000027,BAND.BLONDA CUAD.46CM ARENALES(x25u)         ,"258,64"                       
,0000001507,BANDA ELASTICA BANDITAS 80 mm x kg.          ,"478,72"
,0000001508,BANDA ELASTICA FLEXIBANDS 80 mm x kg.        ,"560,14"
,0000001509,BANDA ELASTICA BANDITAS 80 mm x 100 grs.     ,"53,73"
,0000001510,BANDA ELASTICA BANDITAS 40 mm x kg.          ,"432,26"
,0000001511,BANDA ELASTICA GOMITA 40 mm x kg.            ,"517,18"
,0000001512,BANDA ELASTICA BANDITAS 40 mm x 100 grs.     ,"47,09"
,0000001513,BANDA ELASTICA FLEXIBANDS 40mm x 100grs.     ,"67,14"                   
,0000000043,BAND.CARTON BCA Nº1 REF.(x1500)              ,"221,93"
,0000000044,BAND.CARTON BCA Nº2 REF.(x1200)              ,"305,55"
,0000000045,BAND.CARTON BCA Nº3 REF.(x900)               ,"388,00"
,0000000046,BAND.CARTON BCA Nº4 REF.(x900)               ,"472,71"
,0000000047,BAND.CARTON BCA Nº5 REF.(x900)               ,"582,00"
,0000000048,BAND.CARTON BCA Nº6 REF.(x600)               ,"938,95"
,0000000049,BAND.CARTON BCA Nº7 REF.(x600)               ,"999,10"
,0000000051,BAND.CARTON BCA Nº12 (x1200)                 ,"376,22"
,0000000052,BAND.CARTON BCA Nº12 1/2 (x1000)             ,"434,10"
,0000000053,BAND.CARTON BCA Nº13 (x1000)                 ,"488,87"
,0000000054,BAND.CARTON BCA Nº13 1/2 (x500)              ,"570,52"
,0000000055,BAND.CARTON BCA Nº14 (x500)                  ,"733,83"
,0000000056,BAND.CARTON BCA Nº15 (x500)                  ,"794,80"
,0000000057,BAND.CARTON BCA Nº16 (x400)                  ,"1.024,26"                    
,0000001190,BAND.CARTULINA Nº 1 x 100u.(x2000)           ,"394,64"
,0000001191,BAND.CARTULINA Nº 2 x 100u.(x1500)           ,"465,04"
,0000001192,BAND.CARTULINA Nº 3 x 100u.(x1500)           ,"594,93"
,0000001193,BAND.CARTULINA Nº 4 x 100u.(x600)            ,"711,94"
,0000001194,BAND.CARTULINA Nº 5 x 100u.(x600)            ,"884,96"
,0000001195,BAND.CARTULINA Nº 6 x 100u.(x400)            ,"1.264,23"
,0000001196,BAND.CARTULINA Nº 7 x 100u.(x400)            ,"1.979,08"              
,0000000058,BAND.CARTON GRIS N°12 x 100u.(x900)          ,"287,76"
,0000000064,BAND.CARTON GRIS Nº1 REF.(x1500)             ,"156,81"
,0000000065,BAND.CARTON GRIS Nº2 REF.(x1200)             ,"191,24"
,0000000066,BAND.CARTON GRIS Nº3 REF.(x900)              ,"239,08"
,0000000067,BAND.CARTON GRIS Nº4 REF.(x900)              ,"291,87"
,0000000068,BAND.CARTON GRIS Nº5 REF.(x900)              ,"329,38"
,0000000069,BAND.CARTON GRIS Nº6 REF.(x600)              ,"514,11"
,0000000070,BAND.CARTON GRIS Nº7 REF.(x600)              ,"708,10"
,0000000071,BAND.CARTON GRIS Nº 13 x 100 (x900)          ,"384,12"
,0000000072,BAND.CARTON GRIS Nº 13 1/2 x 100 (x900)      ,"444,25"
,0000000073,BAND.CARTON GRIS Nº 14 x 100 (x600)          ,"609,16"
,0000001233,BAND.CARTON GRIS Nº1 ECON.(x1200)            ,"151,50"
,0000001234,BAND.CARTON GRIS Nº2 ECON.(x1200)            ,"183,24"
,0000001235,BAND.CARTON GRIS Nº3 ECON.(x1200)            ,"224,58"
,0000001236,BAND.CARTON GRIS Nº4 ECON.(x900)             ,"270,24"
,0000001237,BAND.CARTON GRIS Nº5 ECON.(x900)             ,"315,12"
,0000000074,DISCO ORO/PLATA CONFIGRAF 18cm x 100         ,"1.349,75"
,0000000075,BAND.CARTON DORADO CONFIGRAF 100G.(10x16)    ,"5,90"
,0000000076,BAND.CARTON DORADO CONFIGRAF 200G.(12x19)    ,"8,64"
,0000000077,BAND.CARTON DORADO CONFIGRAF 250G.(14x21)    ,"8,60"
,0000000078,BAND.CARTON DORADO CONFIGRAF 500G.(18x24)    ,"13,41"
,0000000079,BAND.CARTON DORADO CONFIGRAF 750G.(20x27)    ,"16,04"
